#,Source,Pair,Volume (24h),Price,Volume (%),%,Updated
350,Huobi,QTUM/BTC,"$2,316,490",$11065.30,0.03,%,Recently
351,Bittrex,THC/BTC,"$2,312,430",$10853.90,0.03,%,Recently
352,Kraken,XMR/BTC,"$2,308,760",$10765.30,0.03,%,Recently
353,GDAX,BCH/BTC,"$2,298,250",$10782.60,0.03,%,Recently
354,ACX,BTC/AUD,"$2,283,180",$10842.20,0.03,%,Recently
355,BTC-Alpha,BTC/USD,"$2,276,670 ",$10950.00,0.03,%,Recently
356,Huobi,SMT/BTC,"$2,272,870",$10865.20,0.03,%,Recently
357,HitBTC,XEM/BTC,"$2,258,190",$10907.90,0.03,%,Recently
358,Upbit,KMD/BTC,"$2,226,920",$11046.60,0.03,%,Recently
359,Upbit,XMR/BTC,"$2,220,770",$10761.50,0.03,%,Recently
360,Binance,ENG/BTC,"$2,219,340",$10757.30,0.03,%,Recently
361,CoinEgg,ETC/BTC,"$2,212,710",$10305.50,0.03,%,Recently
362,Poloniex,OMG/BTC,"$2,208,780",$10787.20,0.03,%,Recently
363,Bittrex,SRN/BTC,"$2,185,760",$10940.00,0.03,%,Recently
364,Binance,KMD/BTC,"$2,181,630",$10939.70,0.03,%,Recently
365,Bibox,SXUT/BTC,"$2,177,100",$10771.80,0.03,%,Recently
366,Liqui,ADX/BTC,"$2,172,010",$10721.80,0.03,%,Recently
367,Cryptopia,ETN/BTC,"$2,169,560",$10777.90,0.03,%,Recently
368,TOPBTC,ETH/BTC,"$2,160,950",$11507.60,0.03,%,Recently
369,ZB.COM,QUN/BTC,"$2,156,180",$10821.50,0.03,%,Recently
370,Livecoin,BCH/BTC,"$2,146,300",$10747.50,0.03,%,Recently
371,Mr. Exchange,BTC/ETH,"$2,142,380",$10383.00,0.03,%,Recently
372,Upbit,NBT/BTC,"$2,114,940",$10749.60,0.03,%,Recently
373,Upbit,DGB/BTC,"$2,112,840",$10762.80,0.03,%,Recently
374,Upbit,QTUM/BTC,"$2,111,100",$11112.60,0.03,%,Recently
375,OkCoin Intl.,BTC/USD,"$2,105,100",$11411.80,0.03,%,Recently
376,Bittrex,DASH/BTC,"$2,071,840",$10793.70,0.03,%,Recently
377,Binance,SNT/BTC,"$2,061,100",$10985.70,0.02,%,Recently
378,HitBTC,ETC/BTC,"$2,023,730",$10747.50,0.02,%,Recently
379,Binance,TRIG/BTC,"$2,021,680",$10714.20,0.02,%,Recently
380,Upbit,WAVES/BTC,"$2,020,650",$10799.90,0.02,%,Recently
381,YoBit,BTC/USD,"$2,018,120",$11350.00,0.02,%,Recently
382,Poloniex,ZRX/BTC,"$2,006,230",$10671.30,0.02,%,Recently
383,Bitinka,BTC/BRL,"$2,002,070",$11044.10,0.02,%,Recently
384,OKEx,XLM/BTC,"$2,000,810",$11088.20,0.02,%,Recently
385,Bittrex,NXS/BTC,"$1,995,270",$10787.60,0.02,%,Recently
386,Bittrex,IGNIS/BTC,"$1,995,210",$10866.70,0.02,%,Recently
387,Independent Reserve,XBT/AUD,"$1,982,640",$10799.80,0.02,%,Recently
388,Huobi,SOC/BTC,"$1,980,410",$10735.70,0.02,%,Recently
389,BitMEX,BTC/USD,"$2,227,560,000",$10794.50,0.00,%,Recently
390,BTCBOX,BTC/JPY,"$165,075,000",$10787.40,0.00,%,Recently
391,Fisco,BTC/JPY,"$149,853,000",$10850.80 ,0.00,%,Recently
392,Zaif,BTC/JPY,"$149,814,000",$10848.40,0.00,%,Recently
393,Quoine,BTC/JPY,"$104,382,000",$10801.90,0.00,%,Recently
394,ZB.COM,BTC/USDT,"$24,775,600",$10797.80,0.00,%,Recently
395,GOPAX,BTC/KRW,"$16,751,100",$11196.30,0.00,%,Recently
396,Quoine,BTC/USD,"$14,214,500",$10759.30,0.00,%,Recently
397,bitFlyer,BTC/USD,"$3,031,120",$10791.90,0.00,%,Recently
398,Bitinka,BTC/LTC,"$5,629,620",$287.29,0.00,%,Recently
399,Bitinka,BTC/ETH,"$4,734,970",$1295.65,0.00,%,Recently
