#,Source,Pair,Volume (24h),Price,Volume (%),%,Updated
81,Binance,BCC/BTC,"$17,330,700",$10791.60,0.21,%,Recently
82,Bitfinex,LTC/BTC,"$16,607,700",$10795.80,0.20,%,Recently
83,Binance,XLM/BTC,"$16,477,100",$11070.30,0.20,%,Recently
84,Binance,EOS/BTC,"$16,381,400",$10773.80,0.20,%,Recently
85,CoinsBank,BTC/EUR,"$16,308,100",$10670.60,0.20,%,Recently
86,Tidex,WAVES/BTC,"$16,271,300",$10832.50,0.20,%,Recently
87,Upbit,RISE/BTC,"$16,221,800",$15276.00,0.00,%,173 hours ago
88,Poloniex,LTC/BTC,"$16,018,400",$10779.30,0.19,%,Recently
89,Bittrex,VEE/BTC," $15,478,600",$10810.80,0.19,%,Recently
90,Binance,PPT/BTC,"$14,934,900",$10727.70,0.18,%,Recently
91,OKEx,XRP/BTC,"$14,894,500",$10763.00,0.18,%,Recently
92,EXX,BCC/BTC,"$14,803,100",$10740.20,0.18,%,Recently
93,OKEx,EOS/BTC,"$14,625,600",$10711.60,0.18,%,Recently
94,Bittrex,LTC/BTC,"$14,615,000",$10775.80,0.18,%,Recently
95,CoinEgg,LSK/BTC,"$14,564,600",$10923.70,0.18,%,Recently
96,CoinEgg,TRX/BTC,"$14,514,300",$11239.10,0.18,%,Recently
97,Exmo,BTC/USD,"$14,492,100",$10903.10,0.18,%,Recently
98,Huobi,AIDOC/BTC,"$14,454,100",$10805.00,0.17,%,Recently
99,Binance,ZRX/BTC,"$14,339,900",$10720.00,0.17,%,Recently
100,Bittrex,WAX/BTC,"$13,927,900",$10797.00,0.17,%,Recently
101,Livecoin,BTC/USD,"$13,729,000",$10702.10,0.17,%,Recently
102,Binance,LSK/BTC,"$13,604,500",$10750.00,0.16,%,Recently
103,Huobi,XEM/BTC,"$13,593,200",$11066.70,0.16,%,Recently
104,Livecoin,ETH/BTC,"$13,515,200",$10720.40,0.16,%,Recently
105,Bittrex,NEO/BTC,"$13,217,200",$10735.20,0.16,%,Recently
106,Binance,MTL/BTC,"$13,140,300",$10908.60,0.16,%,Recently
107,Upbit,XRP/BTC,"$12,941,400",$10758.10,0.16,%,Recently
108,Bittrex,ETC/BTC,"$12,913,100",$10786.40,0.16,%,Recently
109,Upbit,XEM/BTC,"$12,809,300",$10819.80,0.15,%,Recently
110,Bit-Z,LSK/BTC,"$12,767,200",$10886.90,0.15,%,Recently
111,OKEx,XEM/BTC,"$12,570,300",$10991.30,0.15,%,Recently
112,ZB.COM,LBTC/BTC,"$12,422,300",$10640.70,0.15,%,Recently
113,Bittrex,ZCL/BTC,"$11,907,800",$10745.80,0.14,%,Recently
114,Bittrex,NBT/BTC,"$11,798,900",$10720.60,0.14,%,Recently
115,Binance,IOST/BTC,"$11,637,000",$10831.10,0.14,%,Recently
116,Bitfinex,ETC/BTC,"$11,589,100",$10803.60,0.14,%,Recently
117,WEX,BTC/USD,"$11,370,900",$10824.00,0.14,%,Recently
