#,abbr,Name,Market Cap,Price,Volume (24h),Circulating Supply,abbr,Change (24h)
64,MONA,MonaCoin,"$374,013,660",$6.51,"$21,406,500","57,489,000",MONA,10.09%
65,SYS,Syscoin,"$366,417,968",$0.690031,"$2,907,220","531,016,676",SYS,4.93%
66,PIVX,PIVX,"$365,680,030",$6.58,"$12,009,600","55,598,300",PIVX,3.26%
67,ELF,aelf,"$362,317,500",$1.45,"$20,327,600","250,000,000",ELF,3.93%
68,QASH,QASH,"$359,453,500",$1.03,"$4,532,200","350,000,000",QASH,6.79%
69,CNX,Cryptonex,"$350,309,132",$7.76,"$216,987","45,121,299",CNX,6.10%
70,DCN,Dentacoin,"$341,074,906",$0.001049,"$613,684","325,226,613,094",DCN,-3.19%
71,AION,Aion,"$340,908,984",$3.83,"$7,706,000","89,090,430",AION,25.32%
72,BTX,Bitcore," $339,811,942",$29.91,"$1,606,130","11,360,199",BTX,6.26%
73,NAS,Nebulas,"$331,172,755",$9.33,"$9,145,520","35,500,000",NAS,1.30%
74,IOST,IOStoken,"$325,168,818",$0.047860,"$62,222,500","6,794,109,922",IOST,11.56%
75,ETHOS,Ethos,"$323,382,922",$4.27,"$2,032,310","75,800,630",ETHOS,1.41%
76,FCT,Factom,"$311,908,930",$35.67,"$4,437,740","8,745,102",FCT,7.50%
77,PLR,Pillar,"$310,539,421",$1.37,"$363,712","227,384,800",PLR,-2.90%
78,POWR,Power Ledger,"$306,008,515",$0.841058,"$10,452,000","363,837,589",POWR,-0.41%
79,GXS,GXShares,"$299,375,400",$4.99,"$10,956,100","60,000,000",GXS,1.89%
80,FUN,FunFair,"$290,056,473",$0.064404,"$5,455,090","4,503,688,789",FUN,11.13%
81,SALT,SALT,"$288,860,214",$5.41,"$9,296,010","53,434,349",SALT,6.95%
82,DENT,Dent,"$279,428,275",$0.026325,"$2,500,260","10,614,760,961",DENT,2.09%
83,KIN,Kin,"$279,411,317",$0.000370,"$401,123","756,097,560,976",KIN,19.60%
84,CND,Cindicator,"$270,046,250",$0.186757,"$6,781,120","1,445,976,590",CND,4.48%
85,XZC,ZCoin,"$263,798,972",$63.98,"$4,130,930","4,123,077",XZC,7.21%
86,NXT,Nxt,"$263,009,712",$0.263273,"$16,227,100","998,999,942",NXT,4.23%
87,ENG,Enigma,"$258,823,891",$3.46,"$4,409,340","74,836,171",ENG,4.55%
